cld,cld_360smth,cld_anm360,cld_21smth,cld_anm21,CRF,CRF_21smth,CRF_21anm
59.70110,-999.00000,-999.00000,-999.00000,-999.00000,-6.27740,-999.00000,-999.00000
59.93970,-999.00000,-999.00000,-999.00000,-999.00000,-5.86313,-999.00000,-999.00000
60.28400,-999.00000,-999.00000,-999.00000,-999.00000,-5.54581,-999.00000,-999.00000
58.80630,-999.00000,-999.00000,-999.00000,-999.00000,-5.12461,-999.00000,-999.00000
58.41760,-999.00000,-999.00000,-999.00000,-999.00000,-4.97488,-999.00000,-999.00000
58.71470,-999.00000,-999.00000,-999.00000,-999.00000,-4.82350,-999.00000,-999.00000
58.54320,-999.00000,-999.00000,-999.00000,-999.00000,-4.43120,-999.00000,-999.00000
59.52750,-999.00000,-999.00000,-999.00000,-999.00000,-4.39697,-999.00000,-999.00000
60.01590,-999.00000,-999.00000,-999.00000,-999.00000,-4.47025,-999.00000,-999.00000
58.41260,-999.00000,-999.00000,58.93520,-0.52260,-4.30910,-999.00000,-999.00000
59.66950,-999.00000,-999.00000,58.90910,0.76040,-4.25139,-4.65541,0.40402
58.89690,-999.00000,-999.00000,58.91244,-0.01554,-4.18879,-4.57087,0.38208
57.17010,-999.00000,-999.00000,58.89180,-1.72170,-4.21136,-4.54795,0.33659
58.41630,-999.00000,-999.00000,58.93863,-0.52233,-4.01133,-4.53672,0.52539
58.41600,-999.00000,-999.00000,58.93767,-0.52167,-3.67533,-4.53230,0.85697
59.20540,-999.00000,-999.00000,58.94304,0.26236,-3.59012,-4.51538,0.92527
59.12100,-999.00000,-999.00000,58.78760,0.33340,-3.68248,-4.49413,0.81165
58.08500,-999.00000,-999.00000,58.54489,-0.45989,-4.32434,-4.48294,0.15860
57.31870,-999.00000,-999.00000,58.53370,-1.21500,-5.11759,-4.47950,-0.63809
59.46140,-999.00000,-999.00000,58.59915,0.86225,-5.28740,-4.45656,-0.83084
59.51630,-999.00000,-999.00000,58.62080,0.89550,-5.20653,-4.43373,-0.77280
59.15290,-999.00000,-999.00000,58.66763,0.48527,-4.50219,-4.38318,-0.11901
60.01000,-999.00000,-999.00000,58.77761,1.23239,-5.38181,-4.34638,-1.03543
59.85060,-999.00000,-999.00000,58.82137,1.02923,-5.30996,-4.36191,-0.94805
59.78970,-999.00000,-999.00000,58.82136,0.96834,-5.03181,-4.43996,-0.59184
58.39740,-999.00000,-999.00000,58.60315,-0.20575,-4.61958,-4.47820,-0.14138
58.82750,-999.00000,-999.00000,58.61645,0.21105,-4.37718,-4.52494,0.14775
55.27890,-999.00000,-999.00000,58.63918,-3.36028,-4.19626,-4.57174,0.37548
54.43060,-999.00000,-999.00000,58.67611,-4.24551,-4.32471,-4.58629,0.26158
59.78080,-999.00000,-999.00000,58.63040,1.15040,-3.98857,-4.62925,0.64068
59.78720,-999.00000,-999.00000,58.61092,1.17628,-3.82955,-4.66999,0.84044
60.12400,-999.00000,-999.00000,58.66506,1.45894,-3.18990,-4.70555,1.51565
59.88050,-999.00000,-999.00000,58.68369,1.19681,-3.41603,-4.70804,1.29202
59.47970,-999.00000,-999.00000,58.78857,0.69113,-4.53740,-4.60405,0.06665
59.33510,-999.00000,-999.00000,58.90698,0.42812,-5.65051,-4.50032,-1.15018
58.41590,-999.00000,-999.00000,59.10890,-0.69300,-999.00000,-4.47468,-999.00000
54.62290,-999.00000,-999.00000,59.25334,-4.63044,-999.00000,-4.52522,-999.00000
59.40030,-999.00000,-999.00000,59.52982,-0.12952,-999.00000,-4.58784,-999.00000
58.56230,-999.00000,-999.00000,59.79935,-1.23705,-999.00000,-4.64110,-999.00000
58.09430,-999.00000,-999.00000,59.84648,-1.75218,-5.84782,-4.64680,-1.20102
58.50140,-999.00000,-999.00000,59.89664,-1.39524,-5.97995,-4.66157,-1.31837
59.10730,-999.00000,-999.00000,59.90659,-0.79929,-5.81116,-4.63860,-1.17256
60.28990,-999.00000,-999.00000,59.96681,0.32309,-4.54455,-4.66733,0.12277
60.40110,-999.00000,-999.00000,59.97997,0.42113,-3.61389,-4.67352,1.05963
62.05310,-999.00000,-999.00000,60.07615,1.97695,-3.54660,-4.60452,1.05792
62.27630,-999.00000,-999.00000,60.18518,2.09112,-4.59587,-4.46668,-0.12919
62.63770,-999.00000,-999.00000,60.47720,2.16050,-5.47886,-4.40987,-1.06899
61.86080,-999.00000,-999.00000,60.49725,1.36355,-5.44160,-4.33552,-1.10609
61.08500,-999.00000,-999.00000,60.47069,0.61431,-5.10170,-4.24607,-0.85563
60.09070,-999.00000,-999.00000,60.49069,-0.39999,-4.42159,-4.16241,-0.25918
60.77060,-999.00000,-999.00000,60.57263,0.19797,-4.23974,-4.06435,-0.17539
60.84050,-999.00000,-999.00000,60.52483,0.31567,-3.43908,-3.96935,0.53027
60.33290,-999.00000,-999.00000,60.43968,-0.10678,-3.67821,-3.87331,0.19511
61.14530,-999.00000,-999.00000,60.35586,0.78944,-3.52125,-3.83970,0.31845
59.75600,-999.00000,-999.00000,60.23518,-0.47918,-3.36449,-3.83717,0.47268
61.35490,-999.00000,-999.00000,60.12051,1.23439,-3.30720,-3.82671,0.51952
60.70550,-999.00000,-999.00000,59.96105,0.74445,-3.44411,-3.75407,0.30995
60.75540,-999.00000,-999.00000,59.85047,0.90493,-2.99719,-3.63322,0.63603
59.82130,-999.00000,-999.00000,59.76288,0.05842,-2.54660,-3.50136,0.95476
58.00440,-999.00000,-999.00000,59.74731,-1.74291,-2.48912,-3.38053,0.89141
58.51430,-999.00000,-999.00000,59.78005,-1.26575,-3.78857,-3.32323,-0.46534
60.22230,-999.00000,-999.00000,59.82747,0.39483,-3.98501,-3.28075,-0.70427
58.10340,-999.00000,-999.00000,59.83265,-1.72925,-3.79436,-3.28309,-0.51126
58.50180,-999.00000,-999.00000,59.73528,-1.23348,-3.83865,-3.26819,-0.57046
58.64090,-999.00000,-999.00000,59.60893,-0.96803,-3.56074,-3.26840,-0.29233
59.51870,-999.00000,-999.00000,59.46365,0.05505,-3.32708,-3.28134,-0.04574
59.86840,-999.00000,-999.00000,59.34897,0.51943,-3.07025,-3.28799,0.21773
59.28900,-999.00000,-999.00000,59.22524,0.06376,-2.94100,-3.29778,0.35678
59.53860,-999.00000,-999.00000,59.16615,0.37245,-2.67253,-3.31826,0.64572
59.24550,-999.00000,-999.00000,59.22426,0.02124,-2.56439,-3.34823,0.78384
59.76390,-999.00000,-999.00000,59.32085,0.44305,-3.21830,-3.38528,0.16698
61.45810,-999.00000,-999.00000,58.99238,2.46572,-3.34760,-3.38854,0.04094
61.83620,-999.00000,-999.00000,58.80136,3.03484,-3.48831,-3.36514,-0.12316
60.44170,-999.00000,-999.00000,58.61702,1.82468,-3.36518,-3.34306,-0.02212
