date,dd,mm,yyyy
01/07/83,1,7,1983
02/07/83,2,7,1983
03/07/83,3,7,1983
04/07/83,4,7,1983
05/07/83,5,7,1983
06/07/83,6,7,1983
07/07/83,7,7,1983
08/07/83,8,7,1983
09/07/83,9,7,1983
10/07/83,10,7,1983
11/07/83,11,7,1983
12/07/83,12,7,1983
13/07/83,13,7,1983
14/07/83,14,7,1983
15/07/83,15,7,1983
16/07/83,16,7,1983
17/07/83,17,7,1983
18/07/83,18,7,1983
19/07/83,19,7,1983
20/07/83,20,7,1983
21/07/83,21,7,1983
22/07/83,22,7,1983
23/07/83,23,7,1983
24/07/83,24,7,1983
25/07/83,25,7,1983
26/07/83,26,7,1983
27/07/83,27,7,1983
28/07/83,28,7,1983
29/07/83,29,7,1983
30/07/83,30,7,1983
31/07/83,31,7,1983
01/08/83,1,8,1983
02/08/83,2,8,1983
03/08/83,3,8,1983
04/08/83,4,8,1983
05/08/83,5,8,1983
06/08/83,6,8,1983
07/08/83,7,8,1983
08/08/83,8,8,1983
09/08/83,9,8,1983
10/08/83,10,8,1983
11/08/83,11,8,1983
12/08/83,12,8,1983
13/08/83,13,8,1983
14/08/83,14,8,1983
15/08/83,15,8,1983
16/08/83,16,8,1983
17/08/83,17,8,1983
18/08/83,18,8,1983
19/08/83,19,8,1983
20/08/83,20,8,1983
21/08/83,21,8,1983
22/08/83,22,8,1983
23/08/83,23,8,1983
24/08/83,24,8,1983
25/08/83,25,8,1983
26/08/83,26,8,1983
27/08/83,27,8,1983
28/08/83,28,8,1983
29/08/83,29,8,1983
30/08/83,30,8,1983
31/08/83,31,8,1983
01/09/83,1,9,1983
02/09/83,2,9,1983
03/09/83,3,9,1983
04/09/83,4,9,1983
05/09/83,5,9,1983
06/09/83,6,9,1983
07/09/83,7,9,1983
08/09/83,8,9,1983
09/09/83,9,9,1983
10/09/83,10,9,1983
11/09/83,11,9,1983
12/09/83,12,9,1983
13/09/83,13,9,1983
14/09/83,14,9,1983
15/09/83,15,9,1983
16/09/83,16,9,1983
17/09/83,17,9,1983
18/09/83,18,9,1983
19/09/83,19,9,1983
20/09/83,20,9,1983
21/09/83,21,9,1983
22/09/83,22,9,1983
23/09/83,23,9,1983
24/09/83,24,9,1983
25/09/83,25,9,1983
26/09/83,26,9,1983
27/09/83,27,9,1983
28/09/83,28,9,1983
29/09/83,29,9,1983
30/09/83,30,9,1983
01/10/83,1,10,1983
02/10/83,2,10,1983
03/10/83,3,10,1983
04/10/83,4,10,1983
05/10/83,5,10,1983
06/10/83,6,10,1983
07/10/83,7,10,1983
08/10/83,8,10,1983
09/10/83,9,10,1983
10/10/83,10,10,1983
11/10/83,11,10,1983
12/10/83,12,10,1983
13/10/83,13,10,1983
14/10/83,14,10,1983
15/10/83,15,10,1983
16/10/83,16,10,1983
17/10/83,17,10,1983
18/10/83,18,10,1983
19/10/83,19,10,1983
20/10/83,20,10,1983
21/10/83,21,10,1983
22/10/83,22,10,1983
23/10/83,23,10,1983
24/10/83,24,10,1983
25/10/83,25,10,1983
26/10/83,26,10,1983
27/10/83,27,10,1983
28/10/83,28,10,1983
29/10/83,29,10,1983
30/10/83,30,10,1983
31/10/83,31,10,1983
01/11/83,1,11,1983
02/11/83,2,11,1983
03/11/83,3,11,1983
04/11/83,4,11,1983
05/11/83,5,11,1983
06/11/83,6,11,1983
07/11/83,7,11,1983
08/11/83,8,11,1983
09/11/83,9,11,1983
10/11/83,10,11,1983
11/11/83,11,11,1983
12/11/83,12,11,1983
13/11/83,13,11,1983
14/11/83,14,11,1983
15/11/83,15,11,1983
16/11/83,16,11,1983
17/11/83,17,11,1983
18/11/83,18,11,1983
19/11/83,19,11,1983
20/11/83,20,11,1983
21/11/83,21,11,1983
22/11/83,22,11,1983
23/11/83,23,11,1983
24/11/83,24,11,1983
25/11/83,25,11,1983
26/11/83,26,11,1983
27/11/83,27,11,1983
28/11/83,28,11,1983
29/11/83,29,11,1983
30/11/83,30,11,1983
01/12/83,1,12,1983
02/12/83,2,12,1983
03/12/83,3,12,1983
04/12/83,4,12,1983
05/12/83,5,12,1983
06/12/83,6,12,1983
07/12/83,7,12,1983
08/12/83,8,12,1983
09/12/83,9,12,1983
10/12/83,10,12,1983
11/12/83,11,12,1983
12/12/83,12,12,1983
13/12/83,13,12,1983
14/12/83,14,12,1983
15/12/83,15,12,1983
16/12/83,16,12,1983
17/12/83,17,12,1983
18/12/83,18,12,1983
19/12/83,19,12,1983
20/12/83,20,12,1983
21/12/83,21,12,1983
22/12/83,22,12,1983
23/12/83,23,12,1983
24/12/83,24,12,1983
25/12/83,25,12,1983
26/12/83,26,12,1983
27/12/83,27,12,1983
28/12/83,28,12,1983
29/12/83,29,12,1983
30/12/83,30,12,1983
31/12/83,31,12,1983
01/01/84,1,1,1984
02/01/84,2,1,1984
03/01/84,3,1,1984
04/01/84,4,1,1984
05/01/84,5,1,1984
06/01/84,6,1,1984
07/01/84,7,1,1984
08/01/84,8,1,1984
09/01/84,9,1,1984
10/01/84,10,1,1984
11/01/84,11,1,1984
12/01/84,12,1,1984
13/01/84,13,1,1984
14/01/84,14,1,1984
15/01/84,15,1,1984
16/01/84,16,1,1984
17/01/84,17,1,1984
18/01/84,18,1,1984
19/01/84,19,1,1984
20/01/84,20,1,1984
21/01/84,21,1,1984
22/01/84,22,1,1984
23/01/84,23,1,1984
24/01/84,24,1,1984
25/01/84,25,1,1984
26/01/84,26,1,1984
27/01/84,27,1,1984
28/01/84,28,1,1984
29/01/84,29,1,1984
30/01/84,30,1,1984
31/01/84,31,1,1984
01/02/84,1,2,1984
02/02/84,2,2,1984
03/02/84,3,2,1984
04/02/84,4,2,1984
05/02/84,5,2,1984
06/02/84,6,2,1984
07/02/84,7,2,1984
08/02/84,8,2,1984
09/02/84,9,2,1984
10/02/84,10,2,1984
11/02/84,11,2,1984
12/02/84,12,2,1984
13/02/84,13,2,1984
14/02/84,14,2,1984
15/02/84,15,2,1984
16/02/84,16,2,1984
17/02/84,17,2,1984
18/02/84,18,2,1984
19/02/84,19,2,1984
20/02/84,20,2,1984
21/02/84,21,2,1984
22/02/84,22,2,1984
23/02/84,23,2,1984
24/02/84,24,2,1984
25/02/84,25,2,1984
26/02/84,26,2,1984
27/02/84,27,2,1984
28/02/84,28,2,1984
29/02/84,29,2,1984
01/03/84,1,3,1984
02/03/84,2,3,1984
03/03/84,3,3,1984
04/03/84,4,3,1984
05/03/84,5,3,1984
06/03/84,6,3,1984
07/03/84,7,3,1984
08/03/84,8,3,1984
09/03/84,9,3,1984
10/03/84,10,3,1984
11/03/84,11,3,1984
12/03/84,12,3,1984
13/03/84,13,3,1984
14/03/84,14,3,1984
15/03/84,15,3,1984
16/03/84,16,3,1984
17/03/84,17,3,1984
18/03/84,18,3,1984
19/03/84,19,3,1984
20/03/84,20,3,1984
21/03/84,21,3,1984
22/03/84,22,3,1984
23/03/84,23,3,1984
24/03/84,24,3,1984
25/03/84,25,3,1984
26/03/84,26,3,1984
27/03/84,27,3,1984
28/03/84,28,3,1984
29/03/84,29,3,1984
30/03/84,30,3,1984
31/03/84,31,3,1984
01/04/84,1,4,1984
02/04/84,2,4,1984
03/04/84,3,4,1984
04/04/84,4,4,1984
05/04/84,5,4,1984
06/04/84,6,4,1984
07/04/84,7,4,1984
08/04/84,8,4,1984
09/04/84,9,4,1984
10/04/84,10,4,1984
11/04/84,11,4,1984
12/04/84,12,4,1984
13/04/84,13,4,1984
14/04/84,14,4,1984
15/04/84,15,4,1984
16/04/84,16,4,1984
17/04/84,17,4,1984
18/04/84,18,4,1984
19/04/84,19,4,1984
20/04/84,20,4,1984
21/04/84,21,4,1984
22/04/84,22,4,1984
23/04/84,23,4,1984
24/04/84,24,4,1984
25/04/84,25,4,1984
26/04/84,26,4,1984
27/04/84,27,4,1984
28/04/84,28,4,1984
29/04/84,29,4,1984
30/04/84,30,4,1984
01/05/84,1,5,1984
02/05/84,2,5,1984
03/05/84,3,5,1984
04/05/84,4,5,1984
05/05/84,5,5,1984
06/05/84,6,5,1984
07/05/84,7,5,1984
08/05/84,8,5,1984
09/05/84,9,5,1984
10/05/84,10,5,1984
11/05/84,11,5,1984
12/05/84,12,5,1984
13/05/84,13,5,1984
14/05/84,14,5,1984
15/05/84,15,5,1984
16/05/84,16,5,1984
17/05/84,17,5,1984
18/05/84,18,5,1984
19/05/84,19,5,1984
20/05/84,20,5,1984
21/05/84,21,5,1984
22/05/84,22,5,1984
23/05/84,23,5,1984
24/05/84,24,5,1984
25/05/84,25,5,1984
26/05/84,26,5,1984
27/05/84,27,5,1984
28/05/84,28,5,1984
29/05/84,29,5,1984
30/05/84,30,5,1984
31/05/84,31,5,1984
01/06/84,1,6,1984
02/06/84,2,6,1984
03/06/84,3,6,1984
04/06/84,4,6,1984
05/06/84,5,6,1984
06/06/84,6,6,1984
07/06/84,7,6,1984
08/06/84,8,6,1984
09/06/84,9,6,1984
10/06/84,10,6,1984
11/06/84,11,6,1984
12/06/84,12,6,1984
13/06/84,13,6,1984
14/06/84,14,6,1984
15/06/84,15,6,1984
16/06/84,16,6,1984
17/06/84,17,6,1984
18/06/84,18,6,1984
19/06/84,19,6,1984
20/06/84,20,6,1984
21/06/84,21,6,1984
22/06/84,22,6,1984
23/06/84,23,6,1984
24/06/84,24,6,1984
25/06/84,25,6,1984
26/06/84,26,6,1984
27/06/84,27,6,1984
28/06/84,28,6,1984
29/06/84,29,6,1984
30/06/84,30,6,1984
01/07/84,1,7,1984
02/07/84,2,7,1984
03/07/84,3,7,1984
04/07/84,4,7,1984
05/07/84,5,7,1984
06/07/84,6,7,1984
07/07/84,7,7,1984
08/07/84,8,7,1984
09/07/84,9,7,1984
10/07/84,10,7,1984
11/07/84,11,7,1984
12/07/84,12,7,1984
13/07/84,13,7,1984
14/07/84,14,7,1984
15/07/84,15,7,1984
16/07/84,16,7,1984
17/07/84,17,7,1984
18/07/84,18,7,1984
19/07/84,19,7,1984
20/07/84,20,7,1984
21/07/84,21,7,1984
22/07/84,22,7,1984
23/07/84,23,7,1984
24/07/84,24,7,1984
25/07/84,25,7,1984
26/07/84,26,7,1984
27/07/84,27,7,1984
28/07/84,28,7,1984
29/07/84,29,7,1984
30/07/84,30,7,1984
31/07/84,31,7,1984
01/08/84,1,8,1984
02/08/84,2,8,1984
03/08/84,3,8,1984
04/08/84,4,8,1984
05/08/84,5,8,1984
06/08/84,6,8,1984
07/08/84,7,8,1984
08/08/84,8,8,1984
09/08/84,9,8,1984
10/08/84,10,8,1984
11/08/84,11,8,1984
12/08/84,12,8,1984
13/08/84,13,8,1984
14/08/84,14,8,1984
15/08/84,15,8,1984
16/08/84,16,8,1984
17/08/84,17,8,1984
18/08/84,18,8,1984
19/08/84,19,8,1984
20/08/84,20,8,1984
21/08/84,21,8,1984
22/08/84,22,8,1984
23/08/84,23,8,1984
24/08/84,24,8,1984
25/08/84,25,8,1984
26/08/84,26,8,1984
27/08/84,27,8,1984
28/08/84,28,8,1984
29/08/84,29,8,1984
30/08/84,30,8,1984
31/08/84,31,8,1984
01/09/84,1,9,1984
02/09/84,2,9,1984
03/09/84,3,9,1984
04/09/84,4,9,1984
05/09/84,5,9,1984
06/09/84,6,9,1984
07/09/84,7,9,1984
08/09/84,8,9,1984
09/09/84,9,9,1984
10/09/84,10,9,1984
11/09/84,11,9,1984
12/09/84,12,9,1984
13/09/84,13,9,1984
14/09/84,14,9,1984
15/09/84,15,9,1984
16/09/84,16,9,1984
17/09/84,17,9,1984
18/09/84,18,9,1984
19/09/84,19,9,1984
20/09/84,20,9,1984
21/09/84,21,9,1984
22/09/84,22,9,1984
23/09/84,23,9,1984
24/09/84,24,9,1984
25/09/84,25,9,1984
26/09/84,26,9,1984
27/09/84,27,9,1984
28/09/84,28,9,1984
29/09/84,29,9,1984
30/09/84,30,9,1984
01/10/84,1,10,1984
02/10/84,2,10,1984
03/10/84,3,10,1984
04/10/84,4,10,1984
05/10/84,5,10,1984
06/10/84,6,10,1984
07/10/84,7,10,1984
08/10/84,8,10,1984
09/10/84,9,10,1984
10/10/84,10,10,1984
11/10/84,11,10,1984
12/10/84,12,10,1984
13/10/84,13,10,1984
14/10/84,14,10,1984
15/10/84,15,10,1984
16/10/84,16,10,1984
17/10/84,17,10,1984
18/10/84,18,10,1984
19/10/84,19,10,1984
20/10/84,20,10,1984
21/10/84,21,10,1984
22/10/84,22,10,1984
23/10/84,23,10,1984
24/10/84,24,10,1984
25/10/84,25,10,1984
26/10/84,26,10,1984
27/10/84,27,10,1984
28/10/84,28,10,1984
29/10/84,29,10,1984
30/10/84,30,10,1984
31/10/84,31,10,1984
01/11/84,1,11,1984
02/11/84,2,11,1984
03/11/84,3,11,1984
04/11/84,4,11,1984
05/11/84,5,11,1984
06/11/84,6,11,1984
07/11/84,7,11,1984
08/11/84,8,11,1984
09/11/84,9,11,1984
10/11/84,10,11,1984
11/11/84,11,11,1984
12/11/84,12,11,1984
13/11/84,13,11,1984
14/11/84,14,11,1984
15/11/84,15,11,1984
16/11/84,16,11,1984
17/11/84,17,11,1984
18/11/84,18,11,1984
19/11/84,19,11,1984
20/11/84,20,11,1984
21/11/84,21,11,1984
22/11/84,22,11,1984
23/11/84,23,11,1984
24/11/84,24,11,1984
25/11/84,25,11,1984
26/11/84,26,11,1984
27/11/84,27,11,1984
28/11/84,28,11,1984
29/11/84,29,11,1984
30/11/84,30,11,1984
01/12/84,1,12,1984
02/12/84,2,12,1984
03/12/84,3,12,1984
04/12/84,4,12,1984
05/12/84,5,12,1984
06/12/84,6,12,1984
07/12/84,7,12,1984
08/12/84,8,12,1984
09/12/84,9,12,1984
10/12/84,10,12,1984
11/12/84,11,12,1984
12/12/84,12,12,1984
13/12/84,13,12,1984
14/12/84,14,12,1984
15/12/84,15,12,1984
16/12/84,16,12,1984
17/12/84,17,12,1984
18/12/84,18,12,1984
19/12/84,19,12,1984
20/12/84,20,12,1984
21/12/84,21,12,1984
22/12/84,22,12,1984
23/12/84,23,12,1984
24/12/84,24,12,1984
25/12/84,25,12,1984
26/12/84,26,12,1984
27/12/84,27,12,1984
28/12/84,28,12,1984
29/12/84,29,12,1984
30/12/84,30,12,1984
31/12/84,31,12,1984
01/01/85,1,1,1985
02/01/85,2,1,1985
03/01/85,3,1,1985
04/01/85,4,1,1985
05/01/85,5,1,1985
06/01/85,6,1,1985
07/01/85,7,1,1985
08/01/85,8,1,1985
09/01/85,9,1,1985
10/01/85,10,1,1985
11/01/85,11,1,1985
12/01/85,12,1,1985
13/01/85,13,1,1985
14/01/85,14,1,1985
